group	date	value
1	said	633 
1	would	274 
1	like	349 
1	one	315 
1	sir	311 
1	king	201
1	lancelot	3 
1	could	211 
1	go	216
1	look	187 
1	come	158 
1	man	119 
1	knight	64 
1	wart	461 
1	time	160 
1	arthur	3 
1	say	130
1	know	137 
1	well	161
1	thing	119
2	said	260
2	would	131
2	like	134
2	one	166
2	sir	121
2	king	207
2	lancelot	3
2	could	135
2	go	99
2	look	100
2	come	79
2	man	62
2	knight	60
2	wart	0
2	time	54
2	arthur	78
2	say	81
2	know	55
2	well	73
2	thing	71
3	said	507
3	would	303
3	like	280
3	one	274
3	sir	297
3	king	246
3	lancelot	577
3	could	227
3	go	216
3	look	188
3	come	150
3	man	185
3	knight	289
3	wart	1
3	time	159
3	arthur	202
3	say	126
3	know	154
3	well	123
3	thing	170
4	said	221
4	would	236
4	like	176
4	one	140
4	sir	149
4	king	182
4	lancelot	183
4	could	132
4	go	140
4	look	121
4	come	116
4	man	121
4	knight	67
4	wart	1
4	time	78
4	arthur	159
4	say	103
4	know	89
4	well	73
4	thing	65
