name	value
lancelot	237.2254087187235
arthur	205.0255627091439
gawaine	194.29228070595073
merlyn	192.40401813131493
kay	184.65220335123092
guenever	182.6645585358248
grummore	182.26702957274355
ector	181.5713538873514
mordred	181.5713538873514
pellinore	181.17382492427018
agravaine	176.50285960806573
gareth	176.1053306449845
elaine	175.9065661634439
armour	173.024481181105
bors	171.6331298103207
galahad	169.94363171722546
palomides	168.55228034644117
robin	168.55228034644117
orkney	167.45907569796776
gaheris	167.16092897565684
